ZIP,Pipedrive.Contacts,ZIP.1,Number.of.Schools,HotSpot,lat,long
1002,1,1002,1,0,42.36406,-72.458741
1020,3,1020,2,1,42.172602,-72.562073
1028,1,1028,1,0,42.062378,-72.498111
1057,1,1057,1,0,42.093596,-72.321494
1060,1,1060,1,0,42.321488,-72.630588
1062,1,1062,1,0,42.323033,-72.701789
1069,3,1069,1,1,42.188862,-72.30648
1083,1,1083,1,0,42.203642,-72.194599
1085,1,1085,1,0,42.153503,-72.771602
1089,3,1089,1,1,42.125451,-72.649734
1105,1,1105,1,0,42.099958,-72.580765
1106,1,1106,1,0,42.047565,-72.57113
1109,1,1109,1,0,42.119674,-72.549726
1201,3,1201,1,1,42.448236,-73.273727
1226,2,1226,1,0,42.481119,-73.135073
1247,2,1247,1,0,42.698526,-73.0843
1360,1,1360,1,0,42.677091,-72.453876
1364,1,1364,1,0,42.605437,-72.292074
1370,1,1370,1,0,42.593376,-72.726927
1430,1,1430,1,0,42.657005,-71.923442
1436,1,1436,1,0,42.602059,-72.087015
1450,1,1450,1,0,42.61176,-71.565269
1453,1,1453,1,0,42.519967,-71.763319
1460,6,1460,1,1,42.535931,-71.490569
1475,1,1475,1,0,42.66816,-72.055644
1501,1,1501,1,0,42.198708,-71.846006
1507,1,1507,1,0,42.133935,-71.968025
1510,2,1510,1,0,42.411887,-71.690005
1518,1,1518,1,0,42.127477,-72.118818
1519,1,1519,1,0,42.203404,-71.679739
1520,3,1520,1,1,42.336372,-71.850626
1532,2,1532,1,0,42.323342,-71.646236
1545,1,1545,1,0,42.284767,-71.714228
1568,2,1568,1,0,42.176526,-71.603588
1581,1,1581,1,0,42.268426,-71.613309
1588,1,1588,1,0,42.118794,-71.672494
1604,2,1604,1,0,42.253254,-71.767957
1701,2,1701,2,0,42.319587,-71.4428
1702,1,1702,1,0,42.282379,-71.436621
1720,1,1720,1,0,42.483953,-71.438495
1721,1,1721,1,0,42.257755,-71.473526
1730,1,1730,1,0,42.499295,-71.281889
1740,4,1740,1,1,42.439941,-71.601879
1746,1,1746,1,0,42.195951,-71.45343
1747,4,1747,1,1,42.123007,-71.531404
1752,4,1752,3,1,42.349617,-71.547214
1760,2,1760,1,0,42.284822,-71.348811
1772,1,1772,1,0,42.302877,-71.530828
1801,2,1801,1,0,42.488769,-71.154438
1810,3,1810,1,1,42.648044,-71.161751
1821,2,1821,2,0,42.54933,-71.251725
1826,1,1826,1,0,42.679723,-71.30068
1830,1,1830,1,0,42.796313,-71.053436
1832,1,1832,1,0,42.791114,-71.132859
1833,2,1833,1,0,42.726188,-70.983328
1843,1,1843,1,0,42.689974,-71.160383
1844,1,1844,1,0,42.742526,-71.179149
1852,2,1852,1,0,42.632972,-71.295613
1863,3,1863,1,1,42.63378,-71.38947
1864,2,1864,1,0,42.578222,-71.084398
1879,1,1879,1,0,42.667762,-71.42882
1880,1,1880,1,0,42.501524,-71.067489
1887,3,1887,1,1,42.564647,-71.164516
1902,1,1902,1,0,42.471039,-70.941535
1907,1,1907,1,0,42.474145,-70.906597
1915,1,1915,1,0,42.570665,-70.867583
1921,1,1921,1,0,42.683108,-71.01833
1923,2,1923,1,0,42.574174,-70.950516
1930,1,1930,1,0,42.61991,-70.681824
1938,1,1938,1,0,42.68386,-70.842666
1945,2,1945,1,0,42.501021,-70.858841
1960,3,1960,1,1,42.534279,-70.969782
1970,1,1970,1,0,42.524435,-70.870859
1982,1,1982,1,0,42.626223,-70.85723
1985,1,1985,1,0,42.799565,-70.964428
2025,2,2025,1,0,42.236444,-70.814309
2035,1,2035,1,0,42.061338,-71.245802
2038,3,2038,2,1,42.084858,-71.410571
2048,1,2048,1,0,42.017302,-71.21641
2062,1,2062,1,0,42.187364,-71.195971
2072,3,2072,1,1,42.119006,-71.10365
2081,2,2081,1,0,42.14669,-71.270532
2115,2,2115,1,0,42.337105,-71.105696
2116,2,2116,1,0,42.350579,-71.076397
2122,1,2122,1,0,42.291413,-71.042158
2124,1,2124,1,0,42.285805,-71.070571
2127,1,2127,1,0,42.334992,-71.039093
2128,3,2128,1,1,42.361203,-71.00705
2132,1,2132,1,0,42.280455,-71.162017
2136,1,2136,1,0,42.255083,-71.12922
2143,1,2143,1,0,42.381405,-71.096711
2148,1,2148,1,0,42.42938,-71.058706
2150,2,2150,1,0,42.396824,-71.031348
2151,5,2151,1,1,42.41829,-71.001251
2171,4,2171,1,1,42.293327,-71.018193
2186,2,2186,1,0,42.241557,-71.082432
2190,2,2190,1,0,42.166731,-70.952363
2301,2,2301,1,0,42.078371,-71.042304
2324,1,2324,1,0,41.972376,-70.978773
2333,2,2333,1,0,42.037278,-70.940459
2339,1,2339,1,0,42.122956,-70.85631
2346,1,2346,1,0,41.878004,-70.869267
2347,1,2347,1,0,41.834412,-70.957166
2351,1,2351,1,0,42.119967,-70.957211
2356,1,2356,1,0,42.060532,-71.119676
2360,3,2360,2,1,41.882062,-70.631289
2364,2,2364,1,0,41.987196,-70.741942
2368,1,2368,1,0,42.176092,-71.052043
2375,3,2375,1,1,42.005653,-71.078019
2382,3,2382,1,1,42.078974,-70.93939
2445,2,2445,1,0,42.325483,-71.135045
2459,3,2459,1,1,42.314779,-71.192017
2460,1,2460,1,0,42.351824,-71.20849
2472,2,2472,1,0,42.369451,-71.177925
2481,2,2481,1,0,42.311947,-71.275517
2494,2,2494,1,0,42.29949,-71.232519
2540,1,2540,1,0,41.573881,-70.632049
2554,1,2554,1,0,41.291072,-70.093329
2571,3,2571,2,1,41.761187,-70.695991
2651,1,2651,1,0,41.875047,-70.003438
2719,1,2719,1,0,41.633619,-70.871306
2723,2,2723,1,0,41.692705,-71.129726
2745,1,2745,1,0,41.700737,-70.950546
2746,1,2746,1,0,41.660995,-70.940137
2764,1,2764,1,0,41.851929,-71.153598
2766,2,2766,1,0,41.965341,-71.18178
2780,4,2780,3,1,41.909112,-71.118346
2806,2,2806,2,0,41.734753,-71.319732
2816,2,2816,1,0,41.696499,-71.622662
2817,3,2817,1,1,41.637083,-71.678361
2818,4,2818,2,1,41.642919,-71.485719
2830,1,2830,1,0,41.97493,-71.651187
2842,1,2842,1,0,41.518673,-71.281685
2852,3,2852,1,1,41.588565,-71.459811
2857,2,2857,2,0,41.822761,-71.633605
2860,1,2860,1,0,41.870562,-71.388681
2864,2,2864,1,0,41.966913,-71.428933
2865,3,2865,3,1,41.915455,-71.449815
2871,1,2871,1,0,41.587299,-71.261246
2886,1,2886,1,0,41.703849,-71.455568
2891,2,2891,1,0,41.361854,-71.789689
2893,6,2893,2,1,41.679006,-71.518688
2895,14,2895,3,1,42.001706,-71.499949
2904,4,2904,1,1,41.858334,-71.436294
2905,1,2905,1,0,41.784725,-71.396103
2907,2,2907,2,0,41.798593,-71.42463
2908,1,2908,1,0,41.839825,-71.436794
2910,3,2910,1,1,41.774999,-71.435594
2914,3,2914,2,1,41.814838,-71.365333
2917,4,2917,1,1,41.905774,-71.523305
2919,1,2919,1,0,41.82744,-71.519879
2920,3,2920,1,1,41.767344,-71.465508
3031,1,3031,1,0,42.874864,-71.600503
3038,2,3038,1,0,42.887613,-71.282047
3045,3,3045,1,1,43.021515,-71.563462
3051,1,3051,1,0,42.760508,-71.409494
3053,2,3053,1,0,42.869839,-71.387845
3055,1,3055,1,0,42.818645,-71.673354
3062,1,3062,1,0,42.722323,-71.501176
3076,7,3076,1,1,42.730992,-71.337073
3087,1,3087,1,0,42.811092,-71.302688
3102,4,3102,1,1,43.011907,-71.491063
3103,2,3103,2,0,42.950629,-71.44642
3110,6,3110,1,1,42.935584,-71.536871
3222,1,3222,1,0,43.642625,-71.78895
3246,1,3246,1,0,43.576496,-71.482301
3249,1,3249,1,0,43.519499,-71.375838
3254,2,3254,1,0,43.717721,-71.369179
3260,2,3260,1,0,43.330719,-71.916854
3275,3,3275,2,1,43.170513,-71.417063
3276,1,3276,1,0,43.431031,-71.575998
3303,1,3303,1,0,43.311717,-71.665381
3431,2,3431,1,0,42.965044,-72.294803
3446,1,3446,1,0,42.858271,-72.29636
3451,1,3451,1,0,42.809298,-72.504822
3452,4,3452,1,1,42.829254,-72.059901
3576,2,3576,1,0,44.912445,-71.385112
3585,1,3585,1,0,44.222416,-71.877173
3741,1,3741,1,0,43.67694,-72.007001
3766,1,3766,1,0,43.632568,-72.234816
3782,1,3782,1,0,43.390088,-72.093129
3801,1,3801,1,0,43.074812,-70.805443
3824,2,3824,1,0,43.117186,-70.918788
3833,3,3833,2,1,42.978398,-70.987682
3842,2,3842,1,0,42.939601,-70.836728
3865,1,3865,1,0,42.845597,-71.09326
3867,1,3867,1,0,43.301678,-70.991774
3894,3,3894,1,1,43.603773,-71.177139
3903,1,3903,1,0,43.146567,-70.774373
3908,1,3908,1,0,43.230612,-70.752424
3909,3,3909,1,1,43.16646,-70.679004
4005,2,4005,2,0,43.492102,-70.486566
4011,3,4011,2,1,43.896405,-69.973436
4021,1,4021,1,0,43.791796,-70.264762
4032,1,4032,1,0,43.844826,-70.089953
4038,3,4038,2,1,43.703617,-70.46378
4039,4,4039,2,1,43.904551,-70.367027
4041,2,4041,1,0,43.848997,-70.830764
4043,4,4043,2,1,43.395947,-70.570221
4055,2,4055,1,0,43.975769,-70.639298
4062,4,4062,1,1,43.794689,-70.405329
4064,1,4064,1,0,43.525042,-70.388279
4073,7,4073,2,1,43.418643,-70.747779
4074,1,4074,1,0,43.589627,-70.366191
4084,6,4084,1,1,43.762147,-70.566686
4086,1,4086,1,0,43.964977,-69.955624
4087,2,4087,1,0,43.568795,-70.743997
4090,1,4090,1,0,43.331432,-70.645586
4092,5,4092,3,1,43.70792,-70.352602
4095,1,4095,1,0,43.62861,-70.913904
4096,1,4096,1,0,43.788137,-70.156478
4101,3,4101,2,1,43.662607,-70.257949
4105,3,4105,1,1,43.740472,-70.277172
4106,6,4106,3,1,43.631402,-70.285989
4107,1,4107,1,0,43.587173,-70.236476
4210,4,4210,2,1,44.084537,-70.249649
4239,2,4239,1,0,44.516897,-70.202187
4240,2,4240,2,0,44.089594,-70.172185
4252,2,4252,1,0,44.036688,-70.058799
4259,1,4259,1,0,44.233505,-70.014723
4271,2,4271,1,0,44.263611,-70.49819
4274,3,4274,2,1,44.048106,-70.393563
4330,2,4330,1,0,44.351895,-69.747626
4344,2,4344,1,0,44.260548,-69.827805
4345,3,4345,2,1,44.195074,-69.793912
4355,1,4355,1,0,44.384388,-69.9502
4363,1,4363,1,0,44.315485,-69.571186
4364,1,4364,1,0,44.309991,-69.963093
4401,2,4401,1,0,44.848517,-68.850405
4427,1,4427,1,0,44.980538,-69.01088
4444,1,4444,1,0,44.72898,-68.949964
4463,1,4463,1,0,45.286832,-68.895109
4473,1,4473,1,0,44.88168,-68.738644
4474,1,4474,1,0,44.688778,-68.762805
4496,1,4496,1,0,44.650751,-68.908918
4538,1,4538,1,0,43.851505,-69.627611
4578,1,4578,1,0,43.982445,-69.692754
4619,1,4619,1,0,45.142952,-67.217524
4643,1,4643,1,0,44.538027,-67.818538
4649,1,4649,1,0,44.54711,-67.48983
4654,2,4654,1,0,44.757152,-67.539897
4660,1,4660,1,0,44.335753,-68.345729
4664,1,4664,1,0,44.539656,-68.119741
4694,1,4694,1,0,45.115083,-67.477541
4730,3,4730,2,1,46.014769,-68.028159
4736,1,4736,1,0,46.911495,-68.029189
4742,1,4742,1,0,46.776241,-67.859197
4743,1,4743,1,0,47.200266,-68.614333
4756,3,4756,2,1,47.321708,-68.298213
4758,1,4758,1,0,46.559272,-67.853225
4769,2,4769,1,0,46.688952,-67.991914
4856,1,4856,1,0,44.180604,-69.122109
4901,2,4901,1,0,44.541099,-69.573012
4915,2,4915,1,0,44.463502,-69.037571
4926,1,4926,1,0,44.480122,-69.513888
4937,2,4937,1,0,44.651655,-69.661275
4938,6,4938,3,1,44.661856,-70.103104
4944,1,4944,1,0,44.686891,-69.643928
4945,1,4945,1,0,45.869605,-70.266055
4950,1,4950,1,0,44.826354,-69.799713
4953,3,4953,1,1,44.8603,-69.236698
4958,1,4958,1,0,44.896903,-69.917316
4963,2,4963,1,0,44.56033,-69.857434
4974,2,4974,2,0,44.470906,-68.928662
4976,1,4976,1,0,44.789271,-69.667734
5001,1,5001,1,0,43.672188,-72.380193
5032,1,5032,1,0,43.80158,-72.65776
5033,2,5033,2,0,44.012176,-72.158296
5060,3,5060,2,1,43.967072,-72.708604
5091,1,5091,1,0,43.630741,-72.570302
5101,2,5101,1,0,43.182144,-72.493221
5156,2,5156,1,0,43.310627,-72.461623
5301,1,5301,1,0,42.83868,-72.659997
5361,1,5361,1,0,42.780694,-72.879131
5401,1,5401,1,0,44.476621,-73.209998
5403,2,5403,2,0,44.444866,-73.173468
5404,4,5404,2,1,44.495587,-73.184857
5408,5,5408,1,1,44.511852,-73.249611
5450,1,5450,1,0,44.894578,-72.795246
5452,2,5452,1,0,44.538624,-73.050223
5461,1,5461,1,0,44.332701,-73.087409
5465,3,5465,2,1,44.464175,-72.951057
5468,2,5468,1,0,44.657371,-73.144488
5476,1,5476,1,0,44.955228,-72.643138
5478,7,5478,1,1,44.808422,-73.082507
5488,4,5488,1,1,44.921329,-73.125393
5491,1,5491,1,0,44.111961,-73.310796
5602,9,5602,2,1,44.274988,-72.609514
5641,2,5641,1,0,44.188842,-72.472172
5655,5,5655,2,1,44.624262,-72.570417
5660,3,5660,1,1,44.253995,-72.734479
5661,1,5661,1,0,44.532336,-72.620258
5663,2,5663,1,0,44.147613,-72.691275
5701,5,5701,2,1,43.624577,-72.910204
5743,4,5743,1,1,43.67733,-73.304926
5753,1,5753,1,0,43.997783,-73.178295
5759,2,5759,1,0,43.53211,-72.9648
5764,2,5764,1,0,43.539935,-73.189193
5827,1,5827,1,0,44.676898,-72.362504
5851,1,5851,1,0,44.557132,-72.08059
6001,1,6001,1,0,41.787159,-72.852046
6002,1,6002,1,0,41.84493,-72.740951
6010,3,6010,2,1,41.681578,-72.940749
6013,1,6013,1,0,41.749079,-72.948657
6018,2,6018,1,0,42.024629,-73.309616
6029,1,6029,1,0,41.914149,-72.445568
6032,1,6032,1,0,41.731051,-72.857096
6033,2,6033,1,0,41.707463,-72.538932
6035,1,6035,1,0,41.960682,-72.803846
6037,5,6037,1,1,41.605477,-72.778459
6040,3,6040,1,1,41.761415,-72.525608
6043,1,6043,1,0,41.764589,-72.437575
6053,2,6053,2,0,41.688039,-72.793469
6062,2,6062,1,0,41.673639,-72.859729
6066,4,6066,1,1,41.837561,-72.45904
6067,3,6067,1,1,41.656624,-72.661779
6070,2,6070,1,0,41.875857,-72.809376
6074,2,6074,1,0,41.83809,-72.577836
6076,2,6076,1,0,41.984442,-72.263453
6093,2,6093,1,0,42.01324,-72.717369
6095,2,6095,2,0,41.871037,-72.675082
6096,1,6096,1,0,41.92763,-72.659703
6098,4,6098,2,1,41.956189,-73.086364
6103,1,6103,1,0,41.767208,-72.674257
6107,3,6107,1,1,41.752304,-72.758098
6111,1,6111,1,0,41.686993,-72.730839
6117,1,6117,1,0,41.78516,-72.763564
6118,7,6118,1,1,41.748702,-72.609686
6226,1,6226,1,0,41.708238,-72.208549
6235,1,6235,1,0,41.79089,-72.12954
6239,1,6239,1,0,41.79404,-71.854535
6248,1,6248,1,0,41.688585,-72.408671
6268,3,6268,1,1,41.800444,-72.24803
6278,2,6278,1,0,41.897123,-72.171427
6332,1,6332,1,0,41.731216,-71.902335
6339,1,6339,1,0,41.441939,-71.990545
6340,2,6340,1,0,41.354409,-72.040266
6351,1,6351,1,0,41.589788,-71.948385
6360,2,6360,1,0,41.54786,-72.089488
6370,5,6370,1,1,41.466982,-72.189275
6371,1,6371,1,0,41.362386,-72.323754
6385,2,6385,1,0,41.36173,-72.156576
6401,1,6401,1,0,41.344249,-73.069825
6410,7,6410,1,1,41.511827,-72.903617
6415,3,6415,1,1,41.550291,-72.348616
6416,1,6416,1,0,41.616657,-72.661586
6417,1,6417,1,0,41.367819,-72.477442
6450,9,6450,2,1,41.535812,-72.775686
6457,7,6457,1,1,41.548611,-72.656784
6460,2,6460,1,0,41.21892,-73.052454
6469,1,6469,1,0,41.510944,-72.443166
6471,3,6471,1,1,41.332106,-72.780996
6473,4,6473,2,1,41.381459,-72.856369
6475,1,6475,1,0,41.299897,-72.382734
6478,1,6478,1,0,41.444001,-73.147999
6482,6,6482,1,1,41.409,-73.24263
6483,1,6483,1,0,41.385122,-73.083525
6484,1,6484,1,0,41.304577,-73.139215
6488,4,6488,1,1,41.47598,-73.229692
6489,2,6489,1,0,41.614169,-72.869926
6511,5,6511,5,1,41.31703,-72.927316
6519,4,6519,1,1,41.293934,-72.932028
6606,5,6606,1,1,41.21211,-73.206673
6611,1,6611,1,0,41.267861,-73.213691
6614,9,6614,1,1,41.232466,-73.129873
6615,5,6615,1,1,41.171614,-73.13216
6706,2,6706,1,0,41.532212,-73.025096
6712,1,6712,1,0,41.499247,-72.975634
6716,1,6716,1,0,41.594792,-72.968514
6759,1,6759,1,0,41.75364,-73.212028
6776,3,6776,1,1,41.601266,-73.422807
6786,1,6786,1,0,41.672727,-73.018042
6795,5,6795,1,1,41.623892,-73.126195
6798,1,6798,1,0,41.561632,-73.206096
6801,6,6801,1,1,41.369778,-73.389503
6804,3,6804,1,1,41.469885,-73.393667
6810,5,6810,1,1,41.374284,-73.457611
6811,4,6811,1,1,41.422581,-73.478352
6812,4,6812,1,1,41.480318,-73.486863
6825,2,6825,1,0,41.196583,-73.243254
6830,1,6830,1,0,41.037605,-73.624339
6851,1,6851,1,0,41.138233,-73.401526
6854,3,6854,1,1,41.08391,-73.426615
6877,1,6877,1,0,41.310803,-73.499837
6883,1,6883,1,0,41.227413,-73.367061
6897,1,6897,1,0,41.211277,-73.440974
6902,1,6902,1,0,41.059347,-73.544384
7003,2,7003,1,0,40.809141,-74.187142
7006,1,7006,1,0,40.851187,-74.282865
7008,2,7008,1,0,40.58379,-74.227457
7010,2,7010,1,0,40.822045,-73.987945
7013,3,7013,1,1,40.869405,-74.173062
7016,5,7016,1,1,40.65609,-74.303563
7017,5,7017,3,1,40.772111,-74.207065
7028,1,7028,1,0,40.804798,-74.204569
7029,3,7029,1,1,40.74362,-74.154901
7033,1,7033,1,0,40.678089,-74.288114
7039,1,7039,1,0,40.785828,-74.3291
7040,3,7040,1,1,40.730785,-74.268919
7041,1,7041,1,0,40.722448,-74.301546
7044,1,7044,1,0,40.832468,-74.242863
7045,4,7045,1,1,40.909405,-74.363571
7047,4,7047,2,1,40.794163,-74.024947
7050,4,7050,1,1,40.76804,-74.235692
7052,4,7052,1,1,40.785755,-74.265058
7054,1,7054,1,0,40.853731,-74.401647
7055,9,7055,1,1,40.857552,-74.129089
7059,2,7059,1,0,40.634588,-74.519044
7060,4,7060,1,1,40.616667,-74.422042
7065,1,7065,1,0,40.607152,-74.280531
7066,1,7066,1,0,40.620618,-74.315435
7067,7,7067,1,1,40.589296,-74.31138
7070,5,7070,1,1,40.820314,-74.106041
7071,4,7071,1,1,40.797985,-74.113258
7076,1,7076,1,0,40.633029,-74.372899
7080,1,7080,1,0,40.574413,-74.4148
7083,3,7083,1,1,40.695266,-74.269078
7086,1,7086,1,0,40.767915,-74.020629
7087,1,7087,1,0,40.767352,-74.032313
7090,2,7090,1,0,40.651644,-74.343447
7095,9,7095,2,1,40.552853,-74.286945
7102,1,7102,1,0,40.735659,-74.173605
7103,4,7103,4,1,40.738728,-74.195534
7104,2,7104,1,0,40.767713,-74.16835
7105,8,7105,1,1,40.723066,-74.138636
7106,1,7106,1,0,40.741796,-74.230386
7109,5,7109,1,1,40.793481,-74.16116
7110,9,7110,1,1,40.820616,-74.15625
7111,4,7111,1,1,40.723859,-74.232522
7112,1,7112,1,0,40.709409,-74.20955
7203,2,7203,1,0,40.652211,-74.260158
7302,2,7302,2,0,40.719389,-74.046469
7305,3,7305,3,1,40.697302,-74.082273
7401,3,7401,1,1,41.032669,-74.133826
7405,5,7405,2,1,40.987841,-74.378188
7410,1,7410,1,0,40.935833,-74.117504
7417,6,7417,1,1,41.007526,-74.205653
7419,1,7419,1,0,41.152077,-74.565125
7424,3,7424,1,1,40.88283,-74.205688
7430,5,7430,1,1,41.082067,-74.183061
7432,1,7432,1,0,40.995809,-74.141262
7436,8,7436,1,1,41.031022,-74.240502
7438,1,7438,1,0,41.028134,-74.518867
7444,2,7444,1,0,40.967407,-74.306967
7446,7,7446,1,1,41.059136,-74.145931
7451,8,7451,1,1,40.981591,-74.113506
7461,2,7461,1,0,41.247022,-74.610522
7462,1,7462,1,0,41.198457,-74.495575
7465,4,7465,1,1,41.054895,-74.332905
7470,5,7470,3,1,40.945855,-74.245077
7480,6,7480,1,1,41.088533,-74.376499
7501,5,7501,2,1,40.911998,-74.170965
7502,4,7502,1,1,40.918573,-74.194089
7503,1,7503,1,0,40.897548,-74.154121
7506,1,7506,1,0,40.956957,-74.158561
7508,2,7508,1,0,40.955074,-74.183638
7513,1,7513,1,0,40.906182,-74.148686
7514,1,7514,1,0,40.926992,-74.143838
7605,2,7605,1,0,40.863391,-73.988466
7608,1,7608,1,0,40.853503,-74.060109
7621,7,7621,1,1,40.924204,-73.998287
7627,2,7627,1,0,40.954576,-73.956563
7628,1,7628,1,0,40.945239,-73.992428
7630,4,7630,1,1,40.97499,-74.023248
7642,8,7642,1,1,41.009092,-74.04376
7644,4,7644,1,1,40.877915,-74.0825
7645,0,7645,1,0,41.054594,-74.047298
7650,1,7650,1,0,40.847017,-73.997061
7652,8,7652,1,1,40.947299,-74.070169
7657,1,7657,1,0,40.832677,-74.014088
7660,1,7660,1,0,40.854705,-74.019926
7663,2,7663,1,0,40.903099,-74.093591
7666,3,7666,1,1,40.890317,-74.011478
7670,2,7670,1,0,40.918309,-73.950523
7675,2,7675,1,0,41.003484,-74.001753
7676,1,7676,1,0,40.988306,-74.064693
7701,1,7701,1,0,40.361667,-74.078076
7719,6,7719,2,1,40.168908,-74.073226
7722,2,7722,2,0,40.280968,-74.168903
7724,2,7724,1,0,40.298625,-74.074178
7728,3,7728,2,1,40.225793,-74.285785
7730,1,7730,1,0,40.425495,-74.176063
7732,1,7732,1,0,40.430451,-73.990424
7733,1,7733,1,0,40.374964,-74.173849
7735,2,7735,2,0,40.449141,-74.245292
7738,1,7738,1,0,40.337907,-74.127066
7739,2,7739,1,0,40.336952,-74.034535
7740,3,7740,2,1,40.295372,-73.989899
7746,2,7746,1,0,40.32349,-74.254572
7747,4,7747,1,1,40.415316,-74.254364
7753,1,7753,1,0,40.214893,-74.078907
7755,2,7755,1,0,40.263635,-74.022877
7760,1,7760,1,0,40.369551,-74.002368
7764,1,7764,1,0,40.287904,-74.020019
7801,4,7801,1,1,40.917192,-74.554744
7823,4,7823,1,1,40.829451,-75.039497
7825,1,7825,1,0,40.971247,-74.975723
7834,2,7834,1,0,40.887246,-74.490462
7840,7,7840,1,1,40.854177,-74.835349
7843,2,7843,1,0,40.939241,-74.659474
7860,1,7860,1,0,41.056862,-74.818595
7866,10,7866,2,1,40.954863,-74.489076
7869,7,7869,1,1,40.841691,-74.57833
7871,1,7871,1,0,41.046696,-74.627989
7874,5,7874,1,1,40.923063,-74.73579
7876,4,7876,1,1,40.85447,-74.657357
7882,7,7882,1,1,40.75264,-75.013787
7901,3,7901,1,1,40.714923,-74.366372
7920,2,7920,1,0,40.677383,-74.564513
7928,3,7928,1,1,40.725986,-74.412612
7930,1,7930,1,0,40.781196,-74.683945
7936,6,7936,1,1,40.818553,-74.363742
7940,4,7940,1,1,40.760175,-74.419181
7945,2,7945,1,0,40.781948,-74.599501
7981,4,7981,1,1,40.820383,-74.422418
8005,1,8005,1,0,39.767727,-74.312588
8009,1,8009,1,0,39.760656,-74.93286
8016,6,8016,2,1,40.069521,-74.824196
8021,1,8021,1,0,39.80727,-75.006883
8030,2,8030,1,0,39.888896,-75.118078
8033,2,8033,1,0,39.892421,-75.036651
8035,1,8035,1,0,39.879127,-75.065918
8037,3,8037,1,1,39.639959,-74.75932
8043,3,8043,1,1,39.848508,-74.953505
8053,3,8053,1,1,39.856677,-74.90081
8054,2,8054,2,0,39.948992,-74.900247
8055,6,8055,2,1,39.862695,-74.822311
8057,3,8057,1,1,39.979658,-74.941308
8060,3,8060,1,1,40.007737,-74.790088
8068,1,8068,1,0,39.961401,-74.665917
8070,1,8070,1,0,39.619131,-75.516096
8077,2,8077,1,0,40.000162,-74.991632
8078,3,8078,1,1,39.853411,-75.075502
8080,2,8080,2,0,39.757353,-75.122043
8081,3,8081,1,1,39.732942,-74.976657
8083,5,8083,1,1,39.841265,-75.028593
8085,2,8085,1,0,39.761162,-75.324109
8087,5,8087,2,1,39.596035,-74.380612
8088,1,8088,1,0,39.851467,-74.693412
8093,2,8093,1,0,39.864651,-75.137475
8094,5,8094,1,1,39.650587,-74.959292
8098,2,8098,1,0,39.639542,-75.329841
8102,1,8102,1,0,39.952558,-75.120999
8105,1,8105,1,0,39.95034,-75.096278
8108,7,8108,2,1,39.914668,-75.060862
8109,2,8109,1,0,39.951291,-75.050129
8110,4,8110,1,1,39.971893,-75.057876
8205,6,8205,2,1,39.482,-74.452637
8215,4,8215,1,1,39.586506,-74.563656
8221,1,8221,1,0,39.343718,-74.571049
8226,2,8226,1,0,39.263688,-74.607792
8232,1,8232,1,0,39.387525,-74.515196
8234,1,8234,1,0,39.388393,-74.620728
8302,6,8302,2,1,39.438613,-75.260646
8310,2,8310,1,0,39.531437,-74.89681
8318,1,8318,1,0,39.557728,-75.177717
8322,3,8322,1,1,39.611102,-75.048771
8330,2,8330,2,0,39.481603,-74.737407
8332,5,8332,2,1,39.377041,-75.023374
8360,1,8360,1,0,39.494482,-75.00577
8401,1,8401,1,0,39.384718,-74.450577
8505,2,8505,2,0,40.10309,-74.733573
8520,1,8520,1,0,40.254786,-74.536573
8527,7,8527,2,1,40.108665,-74.358602
8533,1,8533,1,0,40.071031,-74.500141
8534,3,8534,1,1,40.329422,-74.792789
8536,2,8536,1,0,40.332267,-74.581026
8540,2,8540,1,0,40.36301,-74.655321
8550,2,8550,1,0,40.280155,-74.614641
8558,2,8558,1,0,40.413411,-74.703745
8610,5,8610,1,1,40.191174,-74.716603
8618,8,8618,2,1,40.249347,-74.789973
8619,5,8619,1,1,40.242301,-74.696408
8648,5,8648,1,1,40.28449,-74.717487
8690,6,8690,2,1,40.224505,-74.660279
8721,1,8721,1,0,39.902019,-74.152669
8723,1,8723,1,0,40.038584,-74.1116
8742,2,8742,1,0,40.080784,-74.059125
8753,14,8753,3,1,39.979031,-74.160429
8759,2,8759,1,0,39.975287,-74.344727
8801,8,8801,1,1,40.622794,-74.886324
8807,5,8807,1,1,40.592434,-74.61884
8816,8,8816,3,1,40.429119,-74.416287
8817,1,8817,1,0,40.514655,-74.393104
8820,1,8820,1,0,40.576806,-74.36575
8822,9,8822,1,1,40.524836,-74.865225
8825,5,8825,1,1,40.514189,-75.027157
8826,6,8826,1,1,40.716574,-74.912125
8830,3,8830,1,1,40.569594,-74.314925
8835,1,8835,1,0,40.541269,-74.589273
8840,1,8840,1,0,40.543139,-74.358981
8846,1,8846,1,0,40.574627,-74.498259
8852,10,8852,1,1,40.388227,-74.549522
8854,4,8854,2,1,40.545648,-74.460797
8859,1,8859,1,0,40.458848,-74.302768
8861,4,8861,2,1,40.520494,-74.272943
8865,2,8865,1,0,40.708223,-75.147074
8876,2,8876,1,0,40.589554,-74.685411
8879,1,8879,1,0,40.46641,-74.278625
8882,1,8882,1,0,40.445652,-74.378459
8884,3,8884,1,1,40.397648,-74.38942
8889,1,8889,1,0,40.609021,-74.754216
8901,3,8901,1,1,40.483638,-74.44246
8902,1,8902,1,0,40.439227,-74.484339
8904,2,8904,1,0,40.500795,-74.427911
10002,3,10002,2,1,40.715777,-73.986207
